Time,Average Electricity Price,Average Gas Price,Economy Business cycle,Relocation mobility factor
2020,0.196066,0.677548,0.0276789,1.12863
2021,0.201051,0.714315,0.019569,1.11542
2022,0.205768,0.75066,0.0100023,1.09314
2023,0.210136,0.786649,0.000435322,1.06421
2024,0.214741,0.822257,-0.00767562,1.03245
2025,0.218956,0.857454,-0.0130958,1.00235
2026,0.222681,0.892186,-0.015,0.978292
2027,0.225787,0.926985,-0.0130984,0.963809
2028,0.228115,0.961172,-0.00768054,0.961033
2029,0.229462,0.994666,0.000428901,0.970344
2030,0.229581,1.02739,0.00999537,0.990297
2031,0.241608,1.12162,0.0195625,1.01784
2032,0.249845,1.21527,0.027674,1.04877
2033,0.253236,1.30793,0.0330949,1.07837
2034,0.250649,1.39929,0.035,1.10214
2035,0.244372,1.48911,0.0330993,1.11645
2036,0.237419,1.5771,0.0276822,1.11912
2037,0.23561,1.72271,0.0195732,1.10975
2038,0.235218,1.90987,0.0100069,1.08976
2039,0.232354,2.09243,0.000439602,1.0622
2040,0.227861,2.27,-0.00767235,1.03126
2041,0.223259,2.46428,-0.013094,1.00164
2042,0.21778,2.65525,-0.015,0.977872
2043,0.211818,2.84141,-0.0131002,0.963557
2044,0.205766,3.0261,-0.00768381,0.960879
2045,0.19988,3.21437,0.000424622,0.970246
2046,0.193987,3.39793,0.00999073,0.990231
2047,0.188192,3.57783,0.0195583,1.01779
2048,0.182559,3.75516,0.0276707,1.04874
2049,0.177129,3.93139,0.0330931,1.07835
2050,0.171921,4.10765,0.035,1.10212
2051,0.167894,4.36209,0.0331011,1.11644
2052,0.164059,4.63901,0.0276854,1.11912
2053,0.160179,4.91837,0.0195775,1.10976
2054,0.156309,5.20138,0.0100116,1.08977
2055,0.153084,5.56904,0.000443883,1.06221
2056,0.149927,5.96498,-0.00766907,1.03127
2057,0.146697,6.36447,-0.0130922,1.00166
2058,0.143482,6.77463,-0.015,0.977881
2059,0.140287,7.19068,-0.013102,0.963561
2060,0.137111,7.60683,-0.00768709,0.960877
