Time,Natural Gas,Green Gas,LT Heating Grid,MT Heating Grid,HT Heating Grid,Air Heat Pump,Ground Heat Pump,Hybrid Heat Pump
2020.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021.0,1.0,0.99304634,0.99860954,0.9986211,1.0,0.9998543,0.9998141,0.99987394
2022.0,1.0,0.9847595,0.9968744,0.9968919,1.0,0.9996913,0.9996113,0.99973506
2023.0,1.0,0.9748896,0.99482507,0.9948968,1.0,0.9994773,0.9993615,0.9995596
2024.0,1.0,0.9631472,0.99246085,0.9926901,1.0,0.9991941,0.999054,0.999337
2025.0,1.0,0.94915414,0.9898135,0.9903349,1.0,0.9988523,0.9987025,0.9990771
2026.0,1.0,0.9344701,0.98703593,0.98788905,1.0,0.9984721,0.9983243,0.9987939
2027.0,1.0,0.9221622,0.9841888,0.98539275,1.0,0.9980656,0.99792844,0.99849564
2028.0,1.0,0.91187876,0.9813063,0.98288125,1.0,0.9976384,0.9975197,0.99818623
2029.0,1.0,0.9032787,0.97842115,0.9803877,1.0,0.99719465,0.99710166,0.9978687
2030.0,1.0,0.89608186,0.9755639,0.9779384,1.0,0.99673814,0.9966778,0.9975459
2031.0,1.0,0.8900592,0.9727559,0.97555506,1.0,0.9962707,0.9962498,0.99721915
2032.0,1.0,0.885019,0.9700203,0.9732572,1.0,0.99579364,0.9958187,0.9968893
2033.0,1.0,0.88080615,0.967366,0.9710518,1.0,0.99530745,0.99538505,0.9965569
2034.0,1.0,0.87729114,0.9647952,0.96894044,1.0,0.99481237,0.9949492,0.9962222
2035.0,1.0,0.8743654,0.96230346,0.9669187,1.0,0.99430865,0.9945115,0.99588543
2036.0,1.0,0.8719354,0.95988834,0.9649854,1.0,0.99379575,0.99407136,0.9955463
2037.0,1.0,0.86992157,0.9575481,0.9631381,1.0,0.99327296,0.9936284,0.99520445
2038.0,1.0,0.86825585,0.9552852,0.96137583,1.0,0.99273944,0.99318206,0.9948595
2039.0,1.0,0.86688113,0.95309716,0.95969516,1.0,0.9921939,0.9927314,0.9945107
2040.0,1.0,0.86574996,0.9509773,0.9580877,1.0,0.9916343,0.9922751,0.9941571
2041.0,1.0,0.86482143,0.94892186,0.9565486,1.0,0.99105895,0.9918119,0.9937974
2042.0,1.0,0.8640603,0.94693494,0.9550798,1.0,0.99047095,0.9913399,0.99343044
2043.0,1.0,0.8634371,0.94502056,0.9536829,1.0,0.98986906,0.99085706,0.99305433
2044.0,1.0,0.8629278,0.94318,0.95235705,1.0,0.989251,0.9903619,0.9926678
2045.0,1.0,0.8625124,0.9414109,0.9510986,1.0,0.9886164,0.9898543,0.9922706
2046.0,1.0,0.86217433,0.9397079,0.9499036,1.0,0.98796546,0.9893347,0.99186295
2047.0,1.0,0.8618997,0.93807006,0.9487703,1.0,0.987299,0.9888042,0.9914455
2048.0,1.0,0.861677,0.93649596,0.94769585,1.0,0.98661804,0.9882638,0.9910189
2049.0,1.0,0.8614968,0.9349801,0.94667476,1.0,0.9859238,0.9877145,0.9905839
2050.0,1.0,0.8613513,0.9335188,0.9457031,1.0,0.9852177,0.9871578,0.99014145
2051.0,1.0,0.86123455,0.93211216,0.94478023,1.0,0.9844974,0.98659223,0.9896902
2052.0,1.0,0.8611413,0.9307646,0.9439079,1.0,0.98375887,0.98601496,0.9892278
2053.0,1.0,0.86106676,0.92947656,0.9430854,1.0,0.9830019,0.98542625,0.9887541
2054.0,1.0,0.86100703,0.92824626,0.94231015,1.0,0.9822269,0.98482656,0.9882694
2055.0,1.0,0.8609593,0.9270702,0.9415789,1.0,0.98143446,0.9842166,0.98777413
2056.0,1.0,0.860921,0.9259426,0.9408886,1.0,0.98062545,0.983597,0.9872687
2057.0,1.0,0.8608904,0.92486066,0.9402367,1.0,0.97980076,0.98296845,0.98675364
2058.0,1.0,0.8608658,0.923825,0.9396217,1.0,0.97896147,0.9823318,0.98622954
2059.0,1.0,0.86084604,0.922832,0.93904114,1.0,0.97810864,0.98168766,0.9856969
2060.0,1.0,0.8608302,0.9218833,0.9384948,1.0,0.9772529,0.98104316,0.98516196
