gemeente,buurt_naam,total,G,F,E,D,C,B,A,Mean connection value,Share Monuments
's-Gravenhage,Archipelbuurt,3782,0.447646748,0.193812797,0.026969857,0.00026441,0.125330513,0.194341618,0.011634056,7.625614112,0.017186674
's-Gravenhage,Arendsdorp,1172,0.261945392,0.196245734,0.332764505,0,0,0,0.209044369,8.491157465,0.002559727
's-Gravenhage,Belgisch Park,4197,0.467000238,0.113652609,0.048606147,0.000238265,0.324040982,0.03597808,0.010483679,7.176157803,0.001906123
's-Gravenhage,Bezuidenhout-Midden,2386,0.188181056,0.117770327,0.432942163,0,0.049036044,0.113579212,0.098491199,6.613643796,0
's-Gravenhage,Bezuidenhout-Oost,5276,0.849886277,0.024829416,0.066527672,0,0.025966641,0.028430629,0.004359363,6.446145366,0
's-Gravenhage,Bezuidenhout-West,2432,0.103618421,0.002878289,0.009868421,0.000411184,0.201069079,0.312088816,0.370065789,4.156224966,0
's-Gravenhage,Binckhorst,602,0.011627907,0.003322259,0.013289037,0.004983389,0.353820598,0.563122924,0.049833887,3.947920966,0.003322259
's-Gravenhage,Bloemenbuurt-Oost,3419,0.588768646,0.055864288,0.304474993,0,0.037145364,0.006727113,0.007019596,10.95016053,0.002047382
's-Gravenhage,Bloemenbuurt-West,1153,0.366869037,0.299219428,0.225498699,0,0,0.023417173,0.084995663,7.690925836,0
's-Gravenhage,Bohemen en Meer en Bos,2949,0.045439132,0.029840624,0.88809766,0,0.01186843,0.002373686,0.022380468,6.375989166,0
's-Gravenhage,Bomenbuurt,3230,0.651702786,0.108668731,0.175232198,0,0.064086687,0,0.000309598,7.247356157,0.000619195
's-Gravenhage,Bosjes van Pex,213,0.004694836,0.112676056,0.873239437,0,0.004694836,0.004694836,0,7.800761612,0
's-Gravenhage,Bosweide,669,0,0,0,0,0,0.940209268,0.059790732,8.248818924,0
's-Gravenhage,Burgen en Horsten,3794,0,0.016078018,0.744596732,0.000527148,0.102003163,0.092250923,0.044544017,5.446308886,0
's-Gravenhage,Componistenbuurt,1070,0.105607477,0.068224299,0.819626168,0.001869159,0.004672897,0,0,6.874263791,0
's-Gravenhage,De Bras,1880,0.004255319,0.001595745,0,0,0.001595745,0.3,0.692553191,6.264187879,0
's-Gravenhage,De Lanen,1775,0.003380282,0.008450704,0,0.003380282,0,0.191549296,0.793239437,5.633973803,0
