gemeente,buurt_naam,x,y
's-Gravenhage,Archipelbuurt,0.2539376934595072,0.4900320017283302
's-Gravenhage,Arendsdorp,0.2575378562436273,0.49115163415812585
's-Gravenhage,Belgisch Park,0.2504477928446972,0.4978836321971542
's-Gravenhage,Bezuidenhout-Midden,0.2623258041978448,0.486939789173472
's-Gravenhage,Bezuidenhout-Oost,0.26405151198280474,0.48805173171735444
's-Gravenhage,Bezuidenhout-West,0.26058315141568483,0.48606865272173755
's-Gravenhage,Binckhorst,0.26397266667382885,0.48077709255644985
's-Gravenhage,Bloemenbuurt-Oost,0.2428699160992609,0.48488396469062933
's-Gravenhage,Bloemenbuurt-West,0.24067146614167495,0.48346917377415755
's-Gravenhage,Bohemen en Meer en Bos,0.23594066959927817,0.4813454376707228
's-Gravenhage,Bomenbuurt,0.24533271934309095,0.48607884344111163
's-Gravenhage,Bosjes van Pex,0.23875425229682704,0.4821971108840733
's-Gravenhage,Bosweide,0.2699509931557454,0.47386341628112977
's-Gravenhage,Burgen en Horsten,0.2680548268634923,0.4906298522917557
's-Gravenhage,Componistenbuurt,0.23736263824103035,0.48051088933810515
's-Gravenhage,De Bras,0.27437076630445545,0.46847537322197286
's-Gravenhage,De Lanen,0.27754629064323083,0.47930841314713024
's-Gravenhage,De Reef,0.2741338461646136,0.4763112014157967
's-Gravenhage,De Rivieren,0.27694597465939014,0.48124945001316416
's-Gravenhage,De Uithof,0.23948720251872627,0.46900992085965926
's-Gravenhage,De Velden,0.280087029299324,0.48216737125901926
's-Gravenhage,De Venen,0.2759046589381341,0.47586290706513507
's-Gravenhage,De Vissen,0.28211616264688727,0.47964932628754803
's-Gravenhage,Dreven en Gaarden,0.24395763071887125,0.47010430122532226
's-Gravenhage,Duindorp,0.24212792553472284,0.489980034214923
's-Gravenhage,Duinzigt,0.2593930950089173,0.49498489183818517
's-Gravenhage,Duttendel,0.2545764981546858,0.49586027525858717
's-Gravenhage,Erasmus Veld,0.24795794179489114,0.470852052922223
's-Gravenhage,Eykenduinen,0.24194169831956408,0.48060677043293204
's-Gravenhage,Geuzenkwartier,0.245343062918828,0.4913348665706961
's-Gravenhage,Groente- en Fruitmarkt,0.2527718883973286,0.47865408700465795
's-Gravenhage,Haagse Bos,0.2614065374756703,0.4886373389694072
's-Gravenhage,Heesterbuurt,0.24479694969085586,0.48281011578732946
's-Gravenhage,Hoge Veld,0.2492765712126904,0.46857116387768893
's-Gravenhage,Houtwijk,0.23971356749702216,0.4767038719795082
