gemeente,buurt_naam,total,g_woz,p_koopw,p_wcorpw,p_ov_hw,a_opp_ha,a_lan_ha,a_wat_ha,p_hh_li,p_hh_hi,p_stadsv,Centroid in WKO-contour?,Potentie WKO per buurt (GJ),Potentie bodemlussen per buurt (GJ),P-WKO,P-GHP,P-TESW,g_ink_pi,Aansluitingen,Aansluit_lengte_m,Hoofdleiding_lengte_m,x,y
's-Gravenhage,Archipelbuurt,3782.0,506.0,52.0,14.0,33.0,87.0,87.0,0.0,35.7,32.8,0.0,1.0,348000.0,139200.0,58586.32727272726,23434.530909090903,0.0,55.4,1731.0,13637.0,14465.0,0.2539376934595072,0.4900320017283302
's-Gravenhage,Arendsdorp,1172.0,647.0,41.0,24.0,35.0,55.0,51.0,4.0,22.8,53.8,0.0,1.0,204000.0,81600.0,34343.709090909084,13737.483636363635,2497.7242975206605,54.9,423.0,3830.0,4716.0,0.2575378562436273,0.4911516341581258
's-Gravenhage,Belgisch Park,4197.0,370.0,60.0,13.0,25.0,106.0,106.0,0.0,40.6,26.6,0.0,0.0,424000.0,164300.0,71381.04242424242,27660.15393939393,0.0,34.6,1544.0,16179.0,15333.0,0.2504477928446972,0.4978836321971542
's-Gravenhage,Bezuidenhout-Midden,2386.0,323.0,54.0,3.0,34.0,62.0,62.0,0.0,33.5,28.9,6.6,1.0,248000.0,99200.0,41751.17575757576,16700.4703030303,0.0,38.4,846.0,8179.0,10244.0,0.2623258041978448,0.4869397891734721
's-Gravenhage,Bezuidenhout-Oost,5276.0,244.0,55.0,7.0,37.0,77.0,77.0,0.0,37.0,19.7,0.0,1.0,346500.0,127050.0,58333.79999999999,21389.06,0.0,34.5,1295.0,9680.0,15244.0,0.26405151198280474,0.4880517317173544
's-Gravenhage,Bezuidenhout-West,2432.0,241.0,18.0,49.0,33.0,54.0,54.0,0.0,65.4,11.0,48.0,1.0,216000.0,86400.0,36363.92727272727,14545.570909090908,0.0,22.9,333.0,2847.0,5035.0,0.26058315141568483,0.4860686527217376
's-Gravenhage,Binckhorst,602.0,188.0,3.0,0.0,96.0,146.0,134.0,11.0,81.2,6.9,60.5,1.0,603000.0,221100.0,101515.96363636364,37222.52,7648.463013698629,14.2,387.0,7020.0,8196.0,0.26397266667382885,0.4807770925564498
's-Gravenhage,Bloemenbuurt-Oost,3419.0,253.0,67.0,5.0,27.0,61.0,60.0,1.0,34.0,19.7,0.0,1.0,240000.0,96000.0,40404.36363636363,16161.745454545451,662.3666169895678,29.7,910.0,7910.0,11380.0,0.2428699160992609,0.4848839646906293
's-Gravenhage,Bloemenbuurt-West,1153.0,347.0,84.0,1.0,15.0,28.0,28.0,0.0,23.5,32.3,0.0,1.0,112000.0,44800.0,18855.369696969694,7542.147878787879,0.0,33.5,597.0,5139.0,5098.0,0.2406714661416749,0.4834691737741576
's-Gravenhage,Bohemen en Meer en Bos,2949.0,248.0,60.0,17.0,22.0,81.0,78.0,3.0,42.8,17.3,0.0,1.0,312000.0,124800.0,52525.67272727272,21010.269090909085,1945.3952861952857,32.4,609.0,6080.0,10392.0,0.23594066959927815,0.4813454376707228
's-Gravenhage,Bomenbuurt,3230.0,266.0,62.0,8.0,29.0,53.0,53.0,0.0,37.4,20.8,0.0,1.0,212000.0,84800.0,35690.52121212121,14276.208484848485,0.0,29.9,1000.0,7787.0,10063.0,0.2453327193430909,0.4860788434411116
's-Gravenhage,Bosjes van Pex,213.0,314.0,86.0,0.0,14.0,46.0,45.0,1.0,28.7,27.2,0.0,1.0,180000.0,72000.0,30303.272727272724,12121.309090909086,658.7667984189723,39.3,78.0,1106.0,1514.0,0.23875425229682706,0.4821971108840733
's-Gravenhage,Bosweide,669.0,650.0,94.0,0.0,5.0,74.0,68.0,5.0,7.6,74.0,100.0,1.0,306000.0,112200.0,51515.56363636363,18889.04,3480.7813267813267,48.5,627.0,7630.0,6659.0,0.2699509931557454,0.4738634162811298
