gemeente,Age100plus
's-Gravenhage,123.70541139942337
's-Hertogenbosch,179.9065752729119
Aa en Hunze,120.66639935846031
Aalsmeer,115.83397683397683
Aalten,120.88135593220339
Achtkarspelen,121.11228813559322
Alblasserdam,127.08910891089108
Albrandswaard,128.18402777777777
Alkmaar,127.11922474549726
Almelo,108.28326434062684
Almere,100.0
Alphen aan den Rijn,123.61507035860191
Alphen-Chaam,133.97260273972603
Altena,133.45786802030457
Ameland,199.62199312714776
Amersfoort,136.5376984126984
Amstelveen,113.44285714285714
Amsterdam,292.7634089649203
Apeldoorn,112.93255455146573
Appingedam,134.97087378640776
Arnhem,124.50811853054597
Assen,120.44340505144996
Asten,146.6418439716312
Baarle-Nassau,127.36158192090396
Baarn,121.06773399014779
Barendrecht,126.03333333333333
Barneveld,126.41540785498489
Beek,159.05982905982907
Beekdaelen,147.46422338568937
Beemster,148.68235294117648
Beesel,137.82051282051282
Berg en Dal,125.261
Bergeijk,129.60738255033556
Bergen (L.),123.55520504731861
Bergen (NH.),118.81433962264151
Bergen op Zoom,172.9916054564533
Berkelland,122.95756718528996
Bernheze,131.82916666666668
Best,153.0952380952381
Beuningen,140.0375
Beverwijk,115.1996161228407
Bladel,123.5469387755102
Blaricum,120.41666666666667
Bloemendaal,124.16691285081241
Bodegraven-Reeuwijk,128.43135662063364
Boekel,125.32824427480917
Borger-Odoorn,111.01695941853423
Borne,118.17494600431965
Borsele,128.40350877192984
Boxmeer,133.2765100671141
Boxtel,128.1883316274309
Breda,125.04222020018199
Brielle,187.78359096313912
Bronckhorst,134.1295799821269
Brummen,131.3308056872038
Brunssum,102.72296395193591
Bunnik,169.40174672489084
Bunschoten,114.35140997830803
Buren,148.06579954093343
Capelle aan den IJssel,135.83529411764707
Castricum,115.44589552238806
Coevorden,129.5387537993921
Cranendonck,125.83460559796438
Cuijk,131.97830802603036
Culemborg,177.18449197860963
Dalfsen,132.99765533411488
Dantumadiel,123.61875761266748
De Bilt,123.40642570281125
De Fryske Marren,125.08731966590736
De Ronde Venen,129.02261048304214
De Wolden,132.01459293394777
Delft,161.80397332592386
Delfzijl,117.43401240035429
Den Helder,116.07428571428571
Deurne,121.89502762430939
Deventer,145.19982253771073
Diemen,110.75
Dinkelland,130.40995260663507
Doesburg,254.2116564417178
Doetinchem,123.94899169632265
Dongen,125.80208333333333
Dordrecht,155.75412541254124
Drechterland,123.20667284522706
Drimmelen,134.10801781737194
Dronten,100.0
Druten,134.36576576576576
Duiven,144.41379310344828
Echt-Susteren,131.4221867517957
Edam-Volendam,162.52803738317758
Ede,118.19477286869945
Eemnes,151.0
Eersel,126.66225165562913
Eijsden-Margraten,154.77256532066508
Eindhoven,105.2069547602971
Elburg,179.8407494145199
Emmen,113.44128113879003
Enkhuizen,163.7577729573391
Enschede,113.25953342305966
Epe,118.67449306296692
Ermelo,133.95636363636365
Etten-Leur,170.1505376344086
Geertruidenberg,154.51865671641792
Geldrop-Mierlo,122.44329896907216
Gemert-Bakel,132.48798521256933
Gennep,117.8393351800554
Gilze en Rijen,116.4776119402985
Goeree-Overflakkee,143.90247252747253
Goes,133.65998821449617
Goirle,116.44074074074074
Gooise Meren,119.00325052240538
