gemeente,Age0to9,Age10to19,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90to99,Age100plus
's-Gravenhage,12740.0,29379.0,26685.0,23337.0,15754.0,16366.0,29972.0,5230.0,26431.0,34646.0,45090.0
's-Hertogenbosch,5617.0,8503.0,8411.0,10448.0,12809.0,11293.0,6448.0,1711.0,2635.0,1542.0,3939.0
Aa en Hunze,230.0,888.0,1255.0,1560.0,1982.0,1758.0,841.0,334.0,559.0,557.0,1247.0
Aalsmeer,926.0,3618.0,1047.0,1853.0,1163.0,1892.0,1030.0,414.0,622.0,404.0,259.0
Aalten,556.0,924.0,1243.0,1681.0,2105.0,1585.0,1053.0,395.0,672.0,560.0,1239.0
Achtkarspelen,438.0,803.0,1341.0,1449.0,2922.0,2269.0,1114.0,145.0,755.0,674.0,472.0
Alblasserdam,295.0,1055.0,1041.0,1146.0,859.0,1721.0,1167.0,375.0,307.0,89.0,303.0
Albrandswaard,470.0,3111.0,1899.0,1464.0,1163.0,758.0,825.0,109.0,191.0,280.0,288.0
Alkmaar,2245.0,4012.0,4186.0,12311.0,9675.0,6731.0,2877.0,982.0,2059.0,2094.0,5108.0
Almelo,1404.0,3096.0,4301.0,4713.0,5527.0,4894.0,3339.0,671.0,1747.0,2397.0,1691.0
Almere,9991.0,16832.0,28861.0,25458.0,4979.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphen aan den Rijn,3490.0,3816.0,5977.0,8668.0,10059.0,8653.0,2758.0,510.0,1085.0,1502.0,2203.0
Alphen-Chaam,471.0,447.0,473.0,575.0,838.0,602.0,297.0,94.0,138.0,150.0,292.0
Altena,1872.0,2202.0,2581.0,2835.0,4343.0,2947.0,1809.0,855.0,481.0,640.0,1970.0
Ameland,54.0,111.0,303.0,222.0,258.0,203.0,152.0,37.0,71.0,48.0,291.0
Amersfoort,4812.0,9414.0,11847.0,12132.0,6686.0,6069.0,5237.0,992.0,3684.0,3201.0,4032.0
Amstelveen,3710.0,2439.0,5651.0,5479.0,5427.0,10443.0,5211.0,448.0,1988.0,1174.0,350.0
Amsterdam,38702.0,39468.0,38717.0,50817.0,24503.0,32558.0,33094.0,4813.0,34881.0,53612.0,102823.0
Apeldoorn,5092.0,6219.0,7663.0,10405.0,14282.0,10713.0,5674.0,1635.0,3887.0,3567.0,4537.0
Appingedam,400.0,655.0,546.0,541.0,1102.0,915.0,302.0,294.0,331.0,302.0,618.0
Arnhem,5473.0,7126.0,6550.0,9855.0,11003.0,9604.0,6597.0,2980.0,5711.0,3635.0,9854.0
Assen,2346.0,4885.0,5415.0,4775.0,5067.0,5253.0,1687.0,397.0,794.0,615.0,1069.0
Asten,334.0,801.0,695.0,1328.0,1465.0,1060.0,465.0,145.0,200.0,151.0,282.0
Baarle-Nassau,234.0,249.0,326.0,301.0,561.0,433.0,199.0,108.0,117.0,173.0,177.0
Baarn,624.0,492.0,787.0,1522.0,1511.0,1950.0,1709.0,124.0,690.0,783.0,1624.0
Barendrecht,914.0,6392.0,4988.0,1637.0,2129.0,1894.0,603.0,106.0,339.0,236.0,180.0
Barneveld,3359.0,3337.0,3537.0,2905.0,3522.0,2162.0,1735.0,362.0,581.0,684.0,662.0
Beek,124.0,256.0,715.0,1008.0,1259.0,1689.0,1012.0,243.0,383.0,221.0,585.0
Beekdaelen,249.0,865.0,1074.0,2191.0,3347.0,3182.0,2068.0,388.0,713.0,897.0,1719.0
Beemster,602.0,262.0,383.0,403.0,520.0,411.0,308.0,107.0,176.0,192.0,680.0
Beesel,126.0,612.0,658.0,1102.0,984.0,936.0,615.0,278.0,155.0,150.0,351.0
Berg en Dal,1488.0,1394.0,1528.0,1993.0,2724.0,2133.0,1780.0,827.0,529.0,422.0,1000.0
Bergeijk,568.0,691.0,836.0,1357.0,1378.0,1394.0,674.0,279.0,266.0,226.0,298.0
Bergen (L.),245.0,457.0,461.0,648.0,1496.0,861.0,655.0,277.0,204.0,136.0,317.0
Bergen (NH.),553.0,1005.0,1116.0,1845.0,2903.0,2884.0,1533.0,532.0,742.0,953.0,1325.0
Bergen op Zoom,1986.0,2355.0,3897.0,3712.0,6249.0,4545.0,2255.0,595.0,1297.0,1214.0,2859.0
Berkelland,956.0,1883.0,2502.0,2494.0,3650.0,2841.0,1308.0,429.0,790.0,1273.0,1414.0
Bernheze,1243.0,1534.0,1475.0,2175.0,2476.0,1819.0,760.0,334.0,242.0,203.0,480.0
Best,1042.0,946.0,2793.0,2311.0,1913.0,2256.0,706.0,378.0,212.0,55.0,84.0
Beuningen,860.0,892.0,1636.0,3128.0,2222.0,1254.0,351.0,151.0,81.0,126.0,480.0
Beverwijk,1281.0,2709.0,1535.0,2566.0,1892.0,2120.0,2758.0,558.0,1549.0,1444.0,1042.0
Bladel,774.0,1097.0,869.0,1405.0,1892.0,1500.0,494.0,227.0,172.0,156.0,245.0
Blaricum,1124.0,169.0,118.0,138.0,1937.0,231.0,361.0,109.0,313.0,247.0,312.0
Bloemendaal,573.0,538.0,540.0,907.0,1042.0,608.0,1327.0,203.0,1135.0,1850.0,1354.0
Bodegraven-Reeuwijk,1405.0,1143.0,1373.0,1954.0,2371.0,2831.0,1067.0,237.0,457.0,495.0,1231.0
Boekel,519.0,597.0,478.0,578.0,880.0,499.0,261.0,79.0,127.0,110.0,131.0
Borger-Odoorn,402.0,858.0,1332.0,1257.0,1917.0,1394.0,1073.0,371.0,589.0,524.0,1651.0
Borne,1127.0,1041.0,1166.0,1870.0,1886.0,1125.0,480.0,131.0,367.0,305.0,463.0
Borsele,578.0,857.0,1019.0,1113.0,1912.0,977.0,620.0,337.0,346.0,478.0,1596.0
Boxmeer,1285.0,868.0,1547.0,2020.0,2396.0,1743.0,970.0,428.0,216.0,392.0,745.0
Boxtel,646.0,1111.0,1518.0,1766.0,3463.0,1999.0,1069.0,317.0,253.0,348.0,977.0
Breda,6409.0,7964.0,9776.0,13125.0,11255.0,12939.0,8024.0,1786.0,4371.0,3944.0,5495.0
Brielle,641.0,931.0,1004.0,561.0,1653.0,1811.0,264.0,72.0,77.0,185.0,841.0
Bronckhorst,544.0,1107.0,1817.0,2244.0,2563.0,2283.0,1337.0,398.0,822.0,869.0,2238.0
Brummen,458.0,626.0,1048.0,1248.0,1493.0,1527.0,764.0,449.0,356.0,323.0,1055.0
Brunssum,275.0,1376.0,1064.0,1821.0,2127.0,2199.0,1597.0,1079.0,410.0,859.0,1498.0
Bunnik,458.0,531.0,468.0,986.0,1343.0,1304.0,682.0,78.0,194.0,139.0,229.0
Bunschoten,953.0,1064.0,943.0,1114.0,1907.0,1228.0,512.0,114.0,111.0,147.0,461.0
Buren,925.0,1042.0,1393.0,1289.0,1754.0,1347.0,692.0,361.0,337.0,392.0,1307.0
Capelle aan den IJssel,486.0,2408.0,4521.0,8199.0,8710.0,4723.0,1568.0,142.0,263.0,433.0,85.0
Castricum,1042.0,1238.0,2052.0,2201.0,2549.0,3312.0,1441.0,433.0,803.0,479.0,536.0
Coevorden,758.0,1147.0,2129.0,2244.0,3258.0,2365.0,923.0,414.0,524.0,513.0,1316.0
Cranendonck,416.0,569.0,956.0,1445.0,2576.0,1471.0,686.0,111.0,233.0,176.0,393.0
Cuijk,1230.0,880.0,1671.0,1455.0,2742.0,1489.0,741.0,229.0,156.0,185.0,461.0
Culemborg,1368.0,1686.0,1840.0,1508.0,2159.0,1827.0,507.0,185.0,407.0,332.0,748.0
Dalfsen,1155.0,1353.0,1469.0,1702.0,2224.0,1393.0,844.0,178.0,445.0,284.0,853.0
Dantumadiel,325.0,440.0,948.0,1019.0,1956.0,1215.0,514.0,274.0,372.0,383.0,821.0
De Bilt,554.0,826.0,928.0,2492.0,3718.0,2932.0,3095.0,349.0,1635.0,1852.0,1245.0
De Fryske Marren,970.0,1878.0,4252.0,3010.0,4471.0,2779.0,1429.0,550.0,589.0,788.0,2634.0
De Ronde Venen,1236.0,1142.0,2111.0,4248.0,3410.0,2950.0,1641.0,317.0,235.0,349.0,973.0
De Wolden,596.0,752.0,1482.0,1319.0,1704.0,1308.0,716.0,268.0,427.0,508.0,1302.0
Delft,3751.0,3103.0,4071.0,8003.0,6432.0,10210.0,3448.0,852.0,2092.0,2610.0,7198.0
