Time,Technology Maturity Systems[Natural Gas],Technology Maturity Systems[Green Gas],Technology Maturity Systems[LT Heating Grid],Technology Maturity Systems[MT Heating Grid],Technology Maturity Systems[HT Heating Grid],Technology Maturity Systems[Air Heat Pump],Technology Maturity Systems[Ground Heat Pump],Technology Maturity Systems[Hybrid Heat Pump]
2020,1,0.2,0.45,0.6,1,0.45,0.6,0.6
2021,1,0.238535,0.457857,0.607885,1,0.454728,0.605679,0.603942
2022,1,0.284586,0.465913,0.615676,1,0.459484,0.611252,0.607828
2023,1,0.339644,0.474165,0.62336,1,0.464272,0.616727,0.611662
2024,1,0.405496,0.482609,0.630932,1,0.469095,0.622108,0.615446
2025,1,0.48429,0.491243,0.638385,1,0.473954,0.627399,0.619183
2026,1,0.569307,0.500069,0.645718,1,0.478851,0.632602,0.622875
2027,1,0.641107,0.508945,0.652929,1,0.483787,0.637722,0.626522
2028,1,0.701055,0.517693,0.660018,1,0.488764,0.64276,0.630127
2029,1,0.751087,0.526314,0.666985,1,0.493782,0.647717,0.63369
2030,1,0.792827,0.534806,0.673829,1,0.498841,0.652597,0.637212
2031,1,0.827636,0.543171,0.680553,1,0.503917,0.657401,0.640693
2032,1,0.856653,0.551408,0.687156,1,0.508937,0.66213,0.644136
2033,1,0.880833,0.559518,0.69364,1,0.513898,0.666786,0.647539
2034,1,0.900974,0.567503,0.700007,1,0.518801,0.671371,0.650905
2035,1,0.917776,0.575363,0.706256,1,0.523647,0.675886,0.654233
2036,1,0.931799,0.583099,0.712391,1,0.528437,0.680331,0.657525
2037,1,0.94349,0.590712,0.718411,1,0.533172,0.68471,0.660781
2038,1,0.953226,0.598204,0.72432,1,0.537852,0.689022,0.664001
2039,1,0.961326,0.605574,0.730116,1,0.54248,0.69327,0.667186
2040,1,0.968057,0.612824,0.735802,1,0.547055,0.697454,0.670337
2041,1,0.973644,0.619955,0.74138,1,0.551578,0.701576,0.673454
2042,1,0.978277,0.626968,0.746851,1,0.556051,0.705638,0.676538
2043,1,0.982114,0.633865,0.752215,1,0.560475,0.709639,0.679589
2044,1,0.985289,0.640647,0.757476,1,0.564849,0.713581,0.682609
2045,1,0.987914,0.647314,0.762634,1,0.569175,0.717465,0.685596
2046,1,0.99008,0.653869,0.767691,1,0.573453,0.721293,0.688552
2047,1,0.991868,0.660313,0.772648,1,0.577684,0.725065,0.691477
2048,1,0.993349,0.666647,0.777507,1,0.581869,0.728782,0.694372
2049,1,0.994576,0.672873,0.78227,1,0.586008,0.732445,0.697237
2050,1,0.995589,0.678992,0.786939,1,0.590102,0.736055,0.700071
2051,1,0.996423,0.685006,0.791514,1,0.594152,0.739613,0.702877
2052,1,0.997108,0.690916,0.795998,1,0.598157,0.743119,0.705654
2053,1,0.997668,0.696724,0.800392,1,0.602119,0.746575,0.708402
2054,1,0.998126,0.702431,0.804698,1,0.606039,0.749981,0.711121
2055,1,0.998501,0.708039,0.808918,1,0.609916,0.753338,0.713813
2056,1,0.998807,0.713549,0.813052,1,0.613751,0.756647,0.716477
2057,1,0.999056,0.718963,0.817103,1,0.617544,0.759909,0.719114
2058,1,0.999257,0.724283,0.821071,1,0.621297,0.763123,0.721724
2059,1,0.999421,0.729509,0.82496,1,0.62501,0.766292,0.724307
2060,1,0.999552,0.734644,0.828769,1,0.628682,0.769415,0.726864
