,bron_naam,type_bron,MWcapaciteit,capfactor,volfactor,status,Brontemperatuur,Uitkoppel_min,Uitkoppel_max,Productiekosten,targetGMC,xcor,ycor
0,Onbekend Heerlen,Gasmotor,0.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6924554833684868,0.04677882154751574
1,Onbekend Eindhoven 1,Gasmotor,0.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5517421341933012,0.259702356943979
2,Onbekend Eindhoven 2,Gasmotor,0.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5369462177642845,0.24828354694409427
3,Onbekend Den Bosch,Gasmotor,0.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.509476781144655,0.3405608569864899
4,Onbekend Hulst,Gasmotor,0.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.18329719006836842,0.19638436284583158
5,Onbekend Rotterdam,Gasmotor,0.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.28133439982618463,0.3883437282944996
6,Onbekend Zandvoort,Gasmotor,0.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.31499225701908146,0.5942649142889538
7,Onbekend Zaanstad,Gasmotor,0.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3723806341607277,0.6310478631967279
8,Onbekend Zeewolde,Gasmotor,0.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5731790969166786,0.5818236227466185
9,A van de Groep en Zonen BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5365278242405848,0.5473857847313683
10,Aardgascompressorstation Wijngaarden,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3665193212514437,0.3982090260153705
11,Abbott Healthcare Products BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4448349817330513,0.5663511681800503
12,Abbott Laboratories BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7132154092989684,0.6452735499470175
13,Abengoa Bioenergy,Industrie,34.41,,,Optie B,80.0,220.25454545454545,250.0,2.0090909090909093,,0.22145087585229295,0.43003129027848064
14,ADM Cocoa BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.38674674633358014,0.6278155021915612
15,Afval Energie Bedrijf Amsterdam,AVI,0.0,,,Optie B,80.0,220.25454545454545,250.0,2.0090909090909093,,0.38250195385677227,0.6020324756840226
16,Afvalstoffen Terminal Moerdijk BV ATM,AVI,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.32921002966989493,0.3434073136675704
17,Agristo NV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4386845969346657,0.30550953004576936
18,AHC Benelux BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5488247902598679,0.24720499383318661
19,Ahrend Produktiebedrijf Sint-Oedenrode BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5538455125442642,0.2940412451325403
20,Air Liquide Nederland BV,Industrie,132.73,,,Optie B,80.0,200.0,200.0,2.0,,0.2401987092915277,0.4146742771763827
21,Air Liquide Pergen VOF,Industrie,57.36,,,Optie B,80.0,220.25454545454545,250.0,2.0090909090909093,,0.26933791642846777,0.4145060624710118
22,Air Products Nederland BV Botlek,Industrie,45.11,,,Optie B,80.0,200.0,200.0,2.0,,0.2409632283666517,0.4123522545767528
23,Air Products Nederland BV Pernis,Industrie,78.91,,,Optie B,80.0,200.0,200.0,2.0,,0.2482622935664674,0.40897146883155294
24,Akzo Nobel Base Chemicals,Industrie,0.0,,,Optie B,80.0,200.0,200.0,2.0,,0.22236373444945592,0.430756922340865
25,Akzo Nobel Chemicals BV Botlek,Industrie,21.23,,,Optie B,80.0,200.0,200.0,2.0,,0.2459839506510481,0.41047220786966604
26,Akzo Nobel Chemicals BV Hengelo,Industrie,86.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9018272097827934,0.5484115646013753
27,Akzo Nobel Functional Chemicals,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.740030630590631,0.5440544738995129
28,Akzo Nobel Functional Chemicals BV,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7162582712895117,0.1461112542328211
29,Albemarle Catalysts Company BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.42060619313335046,0.5962340158400604
30,Alcan Packaging Brabant BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.2427433026311195,0.2751121432869776
31,Almatis BV,Industrie,1.38,,,Optie B,80.0,200.0,200.0,2.0,,0.2354860767836738,0.41482600024397215
32,Alpha-Fry Technlogies BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4759102098114745,0.5649988538819704
33,Aluminium en Chemie Rotterdam BV,Industrie,22.01,,,Optie B,80.0,200.0,200.0,2.0,,0.257067575451602,0.41011598849358644
34,Anox BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5595508787765329,0.4853442433975061
35,ARCG Stainkoeln II,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.849976841463936,0.8970414889739377
36,Archer Daniels Midland Europoort BV ADM,Industrie,17.31,,,Optie B,80.0,200.0,200.0,2.0,,0.20569265431876693,0.4411235658502924
37,Ardagh Glass Benelux BV Moerdijk,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3283580283125428,0.3374505341009061
38,Ardagh Glass Dongen BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4329792307023971,0.31327379311328196
39,Arjowiggins Security BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6751796344171774,0.5216258465167237
40,Arkema BV Rotterdam,Industrie,0.54,,,Optie B,80.0,200.0,200.0,2.0,,0.26104611750423734,0.4160958563531448
41,ARKEMA Vlissingen BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.08757635900085327,0.25832695435300496
42,Arla Foods BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.560083379624878,0.5416269048180815
43,ARN BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.643104065459363,0.3986477035803574
44,Ashland Industries Nederland BV,Industrie,3.23,,,Optie B,80.0,200.0,200.0,2.0,,0.3349496280995572,0.3845803365527698
45,ASML,Industrie,1.0,0.5,0.5,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5462916076527405,0.24151208047102574
46,Attero BV Moerdijk,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.32444795065469473,0.33957465704715845
47,Attero Noord BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8256986063568889,0.747132501540443
48,Aurubis Netherlands BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7497297531854877,0.5138747767594364
49,Avebe ua Foxhol,Industrie,18.5,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8735362004257173,0.8872454561317489
50,Avebe ua Gasselternijveen,Industrie,18.25,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9146148372980516,0.821113988628084
51,Avebe ua Ter Apelkanaal,Industrie,18.75,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9606000891301368,0.7970296008120361
52,Avery Dennison Materials BV,Industrie,0.13,,,Optie B,80.0,200.0,200.0,2.0,,0.3201537116705405,0.5047384094285061
53,Avery Dennison Materials Nederland BV,Industrie,0.14,,,Optie B,80.0,220.25454545454545,250.0,2.0090909090909093,,0.3416439244787524,0.5033860951304262
54,Aviko BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7459375864297731,0.4803439788221667
55,AVR Afvalverwerking BV Duiven,AVI,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6966089899855784,0.44456372149150547
56,AVR Rozenburg,AVI,301.56,,,Optie B,80.0,500.0,500.0,2.0,,0.24554653923990752,0.41893241805155634
