Time,Natural Gas,Green Gas,LT Heating Grid,MT Heating Grid,HT Heating Grid,Air Heat Pump,Ground Heat Pump,Hybrid Heat Pump
2020.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021.0,1.0,0.9935942,0.9985624,0.99856263,1.0,0.99978054,0.9997765,0.9998327
2022.0,1.0,0.986105,0.9967322,0.9967429,1.0,0.9995607,0.9995541,0.99966615
2023.0,1.0,0.9773525,0.9945491,0.9946368,1.0,0.99933684,0.99932843,0.9994971
2024.0,1.0,0.9671339,0.99203455,0.9923247,1.0,0.9991022,0.99909115,0.9993201
2025.0,1.0,0.9551944,0.98929983,0.9898986,1.0,0.9988515,0.9988362,0.99913085
2026.0,1.0,0.94223595,0.9865306,0.98745704,1.0,0.99857944,0.9985578,0.99892527
2027.0,1.0,0.9311712,0.98378134,0.985055,1.0,0.99827904,0.99824864,0.9986982
2028.0,1.0,0.9218812,0.98106956,0.9827082,1.0,0.9979421,0.9979007,0.99844366
2029.0,1.0,0.9140716,0.97840965,0.9804294,1.0,0.9975601,0.99750656,0.9981562
2030.0,1.0,0.9075058,0.97580093,0.97821826,1.0,0.9971241,0.99705905,0.99783015
2031.0,1.0,0.9019783,0.973254,0.97608244,1.0,0.9966272,0.9965545,0.99746233
2032.0,1.0,0.8973191,0.97077686,0.97402674,1.0,0.996064,0.9959913,0.99705076
2033.0,1.0,0.8933904,0.9683671,0.9720478,1.0,0.9954277,0.9953674,0.9965932
2034.0,1.0,0.8900762,0.96602184,0.9701419,1.0,0.9947122,0.99468243,0.99608827
2035.0,1.0,0.88727283,0.9637409,0.96830785,1.0,0.99391085,0.99393624,0.99553496
2036.0,1.0,0.8848947,0.96153283,0.9665528,1.0,0.9930174,0.9931299,0.99493283
2037.0,1.0,0.88287693,0.9593951,0.9648745,1.0,0.99202675,0.9922661,0.9942829
2038.0,1.0,0.88116413,0.9573261,0.96326935,1.0,0.9909464,0.99134934,0.99358743
2039.0,1.0,0.8797094,0.95532614,0.96173507,1.0,0.9897961,0.99038476,0.99284935
2040.0,1.0,0.8784725,0.95339596,0.96027225,1.0,0.98858106,0.9893779,0.99207217
2041.0,1.0,0.87741977,0.9515358,0.95888114,1.0,0.9873068,0.9883343,0.9912593
2042.0,1.0,0.8765229,0.9497472,0.95756143,1.0,0.98597926,0.98725957,0.99041444
2043.0,1.0,0.87575847,0.94802827,0.9563097,1.0,0.9846045,0.9861588,0.9895412
2044.0,1.0,0.8751069,0.9463759,0.95512146,1.0,0.9831886,0.98503697,0.9886431
2045.0,1.0,0.8745515,0.94478375,0.9539914,1.0,0.9817381,0.98389906,0.98772395
2046.0,1.0,0.87407786,0.94325054,0.9529181,1.0,0.98025984,0.9827498,0.9867874
2047.0,1.0,0.8736735,0.9417777,0.95190096,1.0,0.97875863,0.98159254,0.98583615
2048.0,1.0,0.87332624,0.94036317,0.9509373,1.0,0.97723645,0.9804282,0.98487085
2049.0,1.0,0.87302756,0.93900746,0.9500259,1.0,0.975695,0.97925776,0.98389226
2050.0,1.0,0.87277097,0.9377095,0.9491653,1.0,0.9741383,0.9780832,0.98290217
2051.0,1.0,0.87255085,0.9364661,0.94835216,1.0,0.97257054,0.9769068,0.9819026
2052.0,1.0,0.8723623,0.9352747,0.94758373,1.0,0.970996,0.97573084,0.98089564
2053.0,1.0,0.872201,0.9341339,0.9468585,1.0,0.9694187,0.97455764,0.97988343
2054.0,1.0,0.8720631,0.9330406,0.94617367,1.0,0.9678384,0.9733867,0.97886544
2055.0,1.0,0.87194484,0.9319889,0.9455245,1.0,0.9662491,0.97221327,0.9778374
2056.0,1.0,0.8718436,0.9309775,0.9449091,1.0,0.96464777,0.9710354,0.9767972
2057.0,1.0,0.87175703,0.9300068,0.94432676,1.0,0.96303654,0.96985483,0.975746
2058.0,1.0,0.8716833,0.9290717,0.94377476,1.0,0.96140474,0.96866465,0.97467667
2059.0,1.0,0.8716203,0.9281687,0.94325054,1.0,0.9597355,0.967454,0.97357845
2060.0,1.0,0.87156636,0.9273041,0.9427561,1.0,0.9580704,0.9662523,0.9724778
