gemeente,buurt_naam,x,y
's-Gravenhage,Archipelbuurt,80751.121538388,456421.25312020053
's-Gravenhage,Arendsdorp,81697.64170139476,456760.70771065186
's-Gravenhage,Belgisch Park,79833.5904441337,458801.74151464296
's-Gravenhage,Bezuidenhout-Midden,82956.44291396311,455483.7438819325
's-Gravenhage,Bezuidenhout-Oost,83410.14940221612,455820.8670223438
's-Gravenhage,Bezuidenhout-West,82498.28141006951,455219.6292854084
's-Gravenhage,Binckhorst,83389.4201521296,453615.31313579116
's-Gravenhage,Bloemenbuurt-Oost,77841.28799492973,454860.4508803261
's-Gravenhage,Bloemenbuurt-West,77263.2926827747,454431.50897194206
's-Gravenhage,Bohemen en Meer en Bos,76019.51716956396,453787.62625647825
's-Gravenhage,Bomenbuurt,78488.78452983248,455222.71894803294
's-Gravenhage,Bosjes van Pex,76759.23726368404,454045.83991137304
's-Gravenhage,Bosweide,84961.18423489017,451519.1974052203
's-Gravenhage,Burgen en Horsten,84462.66243583492,456602.51181971474
's-Gravenhage,Componistenbuurt,76393.36748447707,453534.6045906872
's-Gravenhage,De Bras,86123.1884697049,449885.62919005693
's-Gravenhage,De Lanen,86958.06677799344,453170.03310090874
's-Gravenhage,De Reef,86060.89970588237,452261.3265882352
's-Gravenhage,De Rivieren,86800.23747500005,453758.52433863643
's-Gravenhage,De Uithof,76951.9374845096,450047.6954580559
's-Gravenhage,De Velden,87626.05334169285,454036.82333416946
's-Gravenhage,De Venen,86526.46476378481,452125.41093310073
's-Gravenhage,De Vissen,88159.53355969011,453273.392495814
's-Gravenhage,Dreven en Gaarden,78127.25945810902,450379.49402778107
's-Gravenhage,Duindorp,77646.21097419228,456405.49740385026
's-Gravenhage,Duinzigt,82185.40322881356,457922.88994229416
's-Gravenhage,Duttendel,80919.06992307688,458188.2921515841
's-Gravenhage,Erasmus Veld,79178.98276030339,450606.20034610113
's-Gravenhage,Eykenduinen,77597.24990642449,453563.67420041835
's-Gravenhage,Geuzenkwartier,78491.50396325251,456816.2608385456
's-Gravenhage,Groente- en Fruitmarkt,80444.61928733575,452971.6519118652
's-Gravenhage,Haagse Bos,82714.75815138592,455998.41374626925
's-Gravenhage,Heesterbuurt,78347.925127362,454231.69316360285
's-Gravenhage,Hoge Veld,79525.66412065357,449914.6713801006
's-Gravenhage,Houtwijk,77011.45118680682,452380.3780035388
's-Gravenhage,Huygenspark,81845.5163002361,454212.95103809715
's-Gravenhage,Kampen,84044.18648438237,456226.8178565878
's-Gravenhage,Kerketuinen en Zichtenburg,77160.25539439246,451637.3150504671
's-Gravenhage,Kijkduin,75364.9880817082,454008.2494396682
's-Gravenhage,Kom Loosduinen,75945.57758211502,452303.7381361055
's-Gravenhage,Koningsplein en omgeving,79383.67116594317,454997.2975153034
's-Gravenhage,Kortenbos,80688.32384797696,454869.6035642212
's-Gravenhage,Kraayenstein en Vroondaal,75586.14634473197,451340.4009936168
's-Gravenhage,Laakhaven-Oost,82224.99386090688,453779.4339057539
's-Gravenhage,Laakhaven-West,81472.17350666066,453159.9416526314
's-Gravenhage,Laakkwartier-Oost,82228.18880881519,452984.0256925606
's-Gravenhage,Laakkwartier-West,81672.0008712643,452458.91971997736
's-Gravenhage,Lage Veld,80051.45629322858,448801.8249147508
's-Gravenhage,Landen,85007.53048591584,456921.3808492233
's-Gravenhage,Leyenburg,78338.81903982515,453035.4222717138
's-Gravenhage,Marlot,84508.02336407767,457566.5890218449
's-Gravenhage,Moerwijk-Noord,80486.95558604854,452436.1272640714
's-Gravenhage,Moerwijk-Oost,80780.55473155054,451886.0831405332
's-Gravenhage,Moerwijk-West,79921.06574323574,451856.3824165218
's-Gravenhage,Moerwijk-Zuid,80097.2250421525,451404.60559879465
's-Gravenhage,Morgenstond-Oost,78831.73232770622,452053.34144935623
's-Gravenhage,Morgenstond-West,78416.77404541729,451747.09679439827
's-Gravenhage,Morgenstond-Zuid,79138.41109334156,451241.58165903843
's-Gravenhage,Morgenweide,85561.63829117944,451327.6403765517
's-Gravenhage,Nassaubuurt,81732.62486498871,456239.32500915223
's-Gravenhage,Nieuw Waldeck,76410.43087022893,452921.97523848363
's-Gravenhage,Noordpolderbuurt,82713.92382727275,453282.9016484042
