gemeente,Age0to9,Age10to19,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90to99,Age100plus
's-Gravenhage,2462.080658603623,3022.4458877317797,2614.5126488383794,2243.0579647068707,2278.5117294482616,2195.5093991322383,2172.0028456404866,2290.196466143908,2393.663921978636,2438.8113941701845,2476.4098071337007
's-Hertogenbosch,2848.6829752394997,3104.8230137614323,3059.07749286569,2814.674142050563,2969.4303058660826,2881.082960949237,2669.363838814752,2750.639579193457,2806.2094916349984,2642.044513320351,2503.5305678160494
Aa en Hunze,3646.313586956517,3532.8258319623824,3402.0446358565396,3203.2990365384285,3204.2401770938754,3188.9154715585805,3362.5593059523667,3521.284694610776,3884.0242790697494,4000.8569281866976,4115.836925120765
Aalsmeer,3205.269352051827,3365.9596834392887,2964.406276555025,3060.2963137149072,3312.2408220120387,3107.7851936339684,3009.655154368927,2940.6107681159383,3353.033737520139,3448.537751243784,3379.6100154440105
Aalten,3212.2056522522344,3250.481661255395,3222.782403057079,3198.1333884592163,3276.8290860266243,3283.123700946358,3287.761344729331,3402.9862588832507,3777.5256080476806,3810.7474357142855,4004.6543004846476
Achtkarspelen,3484.290622119809,3641.0321212499853,3571.0871979088397,3236.217475466445,3289.327788968863,3233.567440282074,3260.638563456316,3589.260924137934,3844.334913448705,4039.551245535694,4267.985541401268
Alblasserdam,3482.9709659863865,3053.443006635065,2971.5258574181034,2941.568945898798,2833.704456876453,2738.8935804764624,2781.417854327324,2934.1707306666717,2958.789954397396,3528.265752808992,3433.9334125412497
Albrandswaard,3424.777253731338,3331.1626730955027,3320.3185866245426,2872.5422377049154,3078.457320722254,3018.788976253301,3029.3797624242293,3296.876073394502,3424.6099895287966,3601.1679857142817,3593.4682657342687
Alkmaar,2787.64588062362,2948.467973310063,2712.4873861410124,2644.6771101001095,2821.4324600270556,2504.4866172362217,2534.030046341477,2667.0703177189343,2790.1684633317177,2694.037861920692,2821.253538567199
Almelo,3184.196199714681,3277.3978307493353,3181.152744883705,2906.687468067049,3104.0926770399415,2759.5274356355394,2678.6109223155163,2868.4226870342686,3094.9740841442344,3021.3072635983103,2982.442795857979
Almere,2989.2555909093894,3261.414158854118,3139.2983367517777,2761.454949642853,2804.928454910602,2804.928454910602,2804.928454910602,2804.928454910602,2804.928454910602,2804.928454910602,2804.928454910602
