gemeente,Age0to9,Age10to19,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90to99,Age100plus
's-Gravenhage,744.1870965208379,954.2028901143888,932.5529460269755,1167.3045928213005,1016.171376880608,1290.1897879362164,1081.4086556108184,1139.1944912012223,1343.505374389275,1333.1934560268144,1436.0777384687442
's-Hertogenbosch,878.4794686426955,1046.4089743589705,1219.3322354339991,1209.07119747296,1430.3517613059796,1526.3569467811776,1427.5598200434415,1497.1756282875479,1638.1618250950569,1598.8539311241068,1649.5326436781647
Aa en Hunze,1407.0269565217397,1627.8950646298445,1685.798007968129,1633.926346153848,1850.4421291624662,1974.310637087601,2183.2392857142822,2492.9751497005964,2818.279069767446,3152.179353680432,3423.7528985507197
Aalsmeer,1088.7914686825068,1177.1677909870018,1154.1033492822967,1278.8544276457835,1567.8789337919134,1522.299204244027,1563.8457281553374,1532.1507246376805,1853.8896940418676,1854.45646766169,1872.065250965251
Aalten,1090.9585585585592,1175.8913419913415,1352.8041834271971,1455.2557406305789,1601.6840779467675,1725.3730599369114,1833.4075023741675,1900.7743654822336,2321.3476900149017,2418.624464285714,2646.939176090469
Achtkarspelen,1292.1755760368665,1506.811750000002,1655.8792382374868,1540.7726330338642,1639.2497773209918,1678.3463199647467,1833.0883888388878,2231.9868965517244,2438.0882822902777,2561.1855654761903,3257.1957537154985
Alblasserdam,1091.0714285714284,986.7985781990494,1058.6989402697463,1133.4398778359541,1258.6229603729607,1252.2676350958736,1347.5239074550125,1452.7760000000003,1469.1276872964168,1947.1011235955064,1801.3079207920794
Albrandswaard,1177.5328358208958,1101.101028608168,1258.6434439178568,1186.9427595628372,1447.3136715391188,1489.9691292875968,1558.500848484849,1846.4623853211024,2026.616753926703,2221.5210714285704,2393.7961538461564
Alkmaar,880.8049443207168,963.6045397854868,1054.0730227001188,1099.4247176403853,1337.1869479780516,1308.0579197622399,1328.545783972129,1376.6016293279063,1515.332248664399,1485.5077878643078,1642.2421786064817
Almelo,1050.8216119828821,1277.9761627906964,1324.0807441860488,1291.3652026310172,1492.2630540980572,1418.0666530445774,1411.249580084,1595.5746646795828,1786.3838008013743,1749.0754811715508,1809.0818343195301
Almere,901.3474501108757,1121.9161176961024,1195.9993382072914,1130.981432162759,1200.5126330588496,1200.5126330588496,1200.5126330588496,1200.5126330588496,1200.5126330588496,1200.5126330588496,1200.5126330588496
Alphen aan den Rijn,939.0320240825656,1087.4042149631243,1216.8732920294776,1199.1292604130406,1325.9146496815406,1336.9715408623645,1358.9298003629747,1453.0313725490262,1802.6120737327203,1666.3239680426077,1991.161004566209
Alphen-Chaam,1121.268936170212,1571.0733780760606,2137.2503171247354,1958.405923344945,2347.984449760766,2383.86544850498,2749.8750841750834,3186.4638297872343,3210.397101449276,7901.805333333332,3238.8972602739727
Altena,1046.2504823151141,1235.1841417910434,1409.5003965106987,1491.9361543909306,1671.6743146740528,1830.6011220673295,1933.2024875621928,2202.5672514619873,2314.7723492723485,2286.3490625000004,2477.7853285787064
Ameland,1317.4518518518516,1623.8369369369368,1297.8175496688757,1564.617117117117,2034.4333333333327,2253.3862068965523,2160.2543046357623,2209.3081081081077,2186.7521126760557,2404.391666666667,1914.3828178694155
Amersfoort,930.8171689877373,1062.831084670152,1189.1239549839183,1131.402841050277,1338.616831238784,1396.6338276487447,1282.184702062659,1596.4701718907966,1813.3105048859961,1729.731476846057,1774.9696969697031
Amstelveen,807.397518878102,1074.0902789171503,1103.7540205455023,1182.594871326882,1157.4171549659056,1242.805191073639,1452.2157551333892,1405.0181614349783,1949.5428068410479,1986.2675791274603,2215.0337175792524
Amsterdam,610.0286655641028,784.9132203132144,884.0798258982826,871.5846865465695,936.792983959861,1078.9078901281948,1039.5854310840762,965.2856014959449,1073.7846480286805,1084.178861879693,1103.5295019866053
Apeldoorn,1039.2758051845976,1169.65026540132,1201.3037080558727,1215.8297357039935,1313.5008122680438,1383.9759686303632,1471.1335389495846,1613.3543451652333,2124.8597786927385,2002.7681537598125,2223.630101590103
