Municipality,Age0to4,Age5to9,Age10to14,Age15to19,Age20to24,Age25to29,Age30to34,Age35to39,Age40to44,Age45to49,Age50to54,Age55to59,Age60to64,Age65to69,Age70to74,Age75to79,80plus,Totaal
's-Gravenhage,31560.0,31247.0,29725.0,30613.0,35486.0,42320.0,41602.0,40413.0,37690.0,40652.0,37031.0,33430.0,28044.0,24176.0,21409.0,13505.0,18930.0,537833.0
's-Hertogenbosch,7750.0,8162.0,8030.0,8624.0,9499.0,11129.0,10736.0,9933.0,9355.0,11448.0,11428.0,10994.0,9625.0,8740.0,7567.0,4920.0,6265.0,154205.0
Aa en Hunze,922.0,1174.0,1366.0,1579.0,1031.0,912.0,1002.0,1124.0,1309.0,1919.0,2077.0,2208.0,2150.0,2061.0,1850.0,1196.0,1506.0,25386.0
Aalsmeer,1506.0,1970.0,2246.0,2046.0,1633.0,1473.0,1588.0,1888.0,2124.0,2756.0,2686.0,2252.0,1730.0,1518.0,1695.0,1158.0,1459.0,31728.0
Aalten,1197.0,1415.0,1682.0,1685.0,1345.0,1293.0,1276.0,1397.0,1449.0,2048.0,2131.0,2201.0,1928.0,1707.0,1656.0,1138.0,1463.0,27011.0
Achtkarspelen,1423.0,1636.0,1877.0,1892.0,1468.0,1481.0,1485.0,1580.0,1644.0,2060.0,2059.0,1943.0,1846.0,1740.0,1551.0,961.0,1206.0,27852.0
Alblasserdam,1273.0,1318.0,1293.0,1305.0,1170.0,1206.0,1144.0,1069.0,1116.0,1368.0,1538.0,1249.0,1060.0,991.0,1075.0,840.0,1054.0,20069.0
Albrandswaard,1283.0,1571.0,1714.0,1611.0,1177.0,1067.0,1293.0,1558.0,1800.0,2239.0,2046.0,1940.0,1636.0,1318.0,1262.0,766.0,990.0,25271.0
Alkmaar,5479.0,5770.0,5691.0,6077.0,5761.0,7244.0,7096.0,6792.0,6789.0,7952.0,7845.0,7821.0,7326.0,6578.0,5964.0,3690.0,4683.0,108558.0
Almelo,3475.0,3861.0,4411.0,4737.0,4194.0,4308.0,4267.0,4357.0,4415.0,5596.0,5447.0,5120.0,4490.0,4232.0,3925.0,2643.0,3371.0,72849.0
Almere,12548.0,13114.0,13405.0,14131.0,12858.0,14284.0,15242.0,14495.0,13750.0,15789.0,16073.0,15722.0,13059.0,9147.0,6534.0,3515.0,4238.0,207904.0
Alphen aan den Rijn,5671.0,6280.0,6511.0,7055.0,6050.0,6604.0,6681.0,6945.0,6933.0,8106.0,8346.0,7939.0,7033.0,6479.0,5967.0,3774.0,4612.0,110986.0
Alphen-Chaam,472.0,526.0,511.0,622.0,536.0,438.0,459.0,546.0,547.0,692.0,858.0,847.0,809.0,681.0,645.0,437.0,523.0,10149.0
Altena,3040.0,3279.0,3514.0,3659.0,3115.0,3046.0,3077.0,3104.0,3145.0,4063.0,4236.0,3857.0,3502.0,3319.0,3059.0,1951.0,2420.0,55386.0
Ameland,168.0,198.0,219.0,164.0,217.0,235.0,210.0,206.0,197.0,265.0,254.0,251.0,261.0,244.0,259.0,161.0,164.0,3673.0
Amersfoort,8993.0,9786.0,10140.0,10235.0,8505.0,10070.0,10503.0,10717.0,10390.0,12266.0,12323.0,10820.0,8560.0,7154.0,6299.0,3979.0,5546.0,156286.0
Amstelveen,5132.0,5763.0,5017.0,4873.0,5782.0,5463.0,5818.0,6404.0,5944.0,6222.0,6062.0,5769.0,5188.0,4566.0,4348.0,3147.0,5340.0,90838.0
Amsterdam,46291.0,40973.0,38338.0,40853.0,67634.0,98245.0,88086.0,67791.0,56946.0,57536.0,55814.0,52338.0,44140.0,36106.0,29887.0,18772.0,23215.0,862965.0
Apeldoorn,7879.0,8537.0,9141.0,10117.0,8633.0,9456.0,9367.0,9103.0,9564.0,12159.0,11894.0,12106.0,10793.0,9894.0,9549.0,6088.0,8165.0,162445.0
Appingedam,488.0,566.0,664.0,703.0,535.0,564.0,593.0,572.0,647.0,824.0,895.0,889.0,883.0,816.0,812.0,529.0,741.0,11721.0
Arnhem,8169.0,8606.0,8423.0,9180.0,11995.0,13436.0,11622.0,11017.0,10618.0,11686.0,11339.0,10293.0,8761.0,7811.0,6568.0,4049.0,5692.0,159265.0
Assen,3195.0,3724.0,4217.0,4515.0,3428.0,3619.0,3799.0,4063.0,4164.0,5165.0,5160.0,4991.0,4447.0,4066.0,3695.0,2414.0,3301.0,67963.0
Asten,757.0,801.0,962.0,1064.0,930.0,927.0,895.0,865.0,875.0,1133.0,1331.0,1320.0,1164.0,1158.0,1003.0,696.0,829.0,16710.0
Baarle-Nassau,292.0,313.0,323.0,343.0,282.0,335.0,339.0,379.0,381.0,439.0,499.0,576.0,519.0,513.0,520.0,355.0,439.0,6847.0
Baarn,1189.0,1355.0,1389.0,1428.0,1040.0,1140.0,1259.0,1357.0,1448.0,1755.0,1962.0,1924.0,1746.0,1557.0,1583.0,1068.0,1567.0,24767.0
Barendrecht,2496.0,3062.0,3381.0,3633.0,2585.0,2004.0,2345.0,2821.0,3271.0,4235.0,4216.0,3473.0,2803.0,2541.0,2327.0,1505.0,1975.0,48673.0
Barneveld,4214.0,4203.0,4011.0,4266.0,3710.0,3760.0,3724.0,3243.0,3001.0,3733.0,3831.0,3652.0,3136.0,2652.0,2544.0,1839.0,2452.0,57971.0
