gemeente,Stadsverwarming,Totaal woningen,Woningen stadsverwarming
's-Gravenhage,0.08800000000000001,265630,23375.0
's-Hertogenbosch,0.0,73356,0.0
Aa en Hunze,0.0,11211,0.0
Aalsmeer,0.0,13228,0.0
Aalten,0.0,12013,0.0
Achtkarspelen,0.0,12382,0.0
Alblasserdam,0.0,8358,0.0
Albrandswaard,0.0,10558,0.0
Alkmaar,0.0,52280,0.0
Almelo,0.0,33780,0.0
Almere,0.569,86121,49003.0
Alphen aan den Rijn,0.0,48721,0.0
Alphen-Chaam,0.0,4377,0.0
Altena,0.0,22535,0.0
Ameland,0.0,1750,0.0
Amersfoort,0.051,68106,3473.0
Amstelveen,0.071,42320,3005.0
Amsterdam,0.10800000000000001,453988,49031.0
Apeldoorn,0.0,73674,0.0
Appingedam,0.0,6006,0.0
Arnhem,0.07400000000000001,78388,5801.0
Assen,0.0,32303,0.0
Asten,0.0,6926,0.0
Baarle-Nassau,0.0,2878,0.0
Baarn,0.0,11816,0.0
Barendrecht,0.042,19418,816.0
Barneveld,0.0,22846,0.0
Beek,0.0,7495,0.0
Beekdaelen,0.0,16693,0.0
Beemster,0.0,4044,0.0
Beesel,0.032,5967,191.0
Berg en Dal,0.0,15818,0.0
Bergeijk,0.0,7967,0.0
Bergen (L.),0.0,5757,0.0
Bergen (NH.),0.0,15391,0.0
Bergen op Zoom,0.0,30964,0.0
Berkelland,0.0,19540,0.0
Bernheze,0.0,12741,0.0
Best,0.0,12696,0.0
Beuningen,0.0,11181,0.0
Beverwijk,0.0,19454,0.0
Bladel,0.0,8831,0.0
Blaricum,0.076,5059,384.0
Bloemendaal,0.0,10077,0.0
Bodegraven-Reeuwijk,0.0,14564,0.0
Boekel,0.0,4259,0.0
Borger-Odoorn,0.0,11368,0.0
Borne,0.0,9961,0.0
Borsele,0.0,9833,0.0
Boxmeer,0.0,12610,0.0
Boxtel,0.0,13467,0.0
Breda,0.214,85088,18209.0
Brielle,0.0,8040,0.0
Bronckhorst,0.0,16222,0.0
Brummen,0.0,9347,0.0
Brunssum,0.0,14305,0.0
Bunnik,0.0,6412,0.0
Bunschoten,0.0,8554,0.0
Buren,0.0,10839,0.0
Capelle aan den IJssel,0.28800000000000003,31538,9083.0
Castricum,0.0,16086,0.0
Coevorden,0.0,15591,0.0
Cranendonck,0.0,9032,0.0
Cuijk,0.0,11239,0.0
Culemborg,0.078,12567,980.0
Dalfsen,0.0,11900,0.0
Dantumadiel,0.0,8267,0.0
De Bilt,0.0,19626,0.0
De Fryske Marren,0.0,23350,0.0
De Ronde Venen,0.0,18612,0.0
De Wolden,0.0,10382,0.0
Delft,0.055999999999999994,51770,2899.0
Delfzijl,0.0,12226,0.0
Den Helder,0.0,28213,0.0
Deurne,0.0,14018,0.0
Deventer,0.057999999999999996,46451,2694.0
Diemen,0.14,15033,2105.0
Dinkelland,0.0,11058,0.0
Doesburg,0.044000000000000004,5268,232.0
Doetinchem,0.0,26308,0.0
Dongen,0.0,11328,0.0
Dordrecht,0.0,55753,0.0
Drechterland,0.0,8397,0.0
Drimmelen,0.0,11830,0.0
Dronten,0.0,17394,0.0
Druten,0.0,8229,0.0
Duiven,0.602,10750,6472.0
Echt-Susteren,0.0,14652,0.0
Edam-Volendam,0.0,15155,0.0
Ede,0.0,49790,0.0
Eemnes,0.0,4013,0.0
Eersel,0.0,8422,0.0
Eijsden-Margraten,0.0,11350,0.0
Eindhoven,0.042,113751,4778.0
Elburg,0.0,9463,0.0
Emmen,0.0,49436,0.0
Enkhuizen,0.0,8914,0.0
Enschede,0.13699999999999998,76218,10442.0
Epe,0.0,14612,0.0
Ermelo,0.0,11220,0.0
Etten-Leur,0.0,19124,0.0
Geertruidenberg,0.07200000000000001,9658,695.0
Geldrop-Mierlo,0.0,17814,0.0
Gemert-Bakel,0.0,12665,0.0
Gennep,0.0,7447,0.0
Gilze en Rijen,0.0,11332,0.0
Goeree-Overflakkee,0.0,22029,0.0
Goes,0.0,18635,0.0
Goirle,0.037000000000000005,10380,384.0
Gooise Meren,0.0,26888,0.0
Gorinchem,0.0,17366,0.0
Gouda,0.0,34058,0.0
