Time,Insulation cost reduction[Label F],Insulation cost reduction[Label E],Insulation cost reduction[Label D],Insulation cost reduction[Label C],Insulation cost reduction[Label B],Insulation cost reduction[Label A]
2019,1,1,1,1,1,1
2020,0.99768,0.993358,0.995219,0.986431,0.99539,0.996422
2021,0.995414,0.986164,0.990058,0.968259,0.989718,0.991565
2022,0.993201,0.978385,0.984485,0.943922,0.982738,0.98497
2023,0.991039,0.970769,0.978468,0.916988,0.974149,0.976015
2024,0.988927,0.963743,0.971971,0.896854,0.963581,0.963857
2025,0.986864,0.957261,0.964957,0.881985,0.950577,0.94735
2026,0.984849,0.951281,0.957428,0.871005,0.934576,0.924937
2027,0.982881,0.945763,0.950171,0.862897,0.915014,0.896113
2028,0.980958,0.940673,0.943455,0.856909,0.896791,0.872657
2029,0.97908,0.935976,0.937239,0.852487,0.882063,0.85559
2030,0.977246,0.931643,0.931486,0.849221,0.87016,0.843172
2031,0.975454,0.927646,0.926161,0.84681,0.86054,0.834136
2032,0.973704,0.923958,0.921233,0.845029,0.852764,0.827562
2033,0.971994,0.920555,0.916672,0.843714,0.846481,0.822778
2034,0.970324,0.917416,0.912451,0.842742,0.841402,0.819298
2035,0.968693,0.91452,0.908544,0.842025,0.837297,0.816765
2036,0.967099,0.911848,0.904928,0.841496,0.83398,0.814922
2037,0.965543,0.909383,0.901582,0.841104,0.831299,0.813581
2038,0.964022,0.907108,0.898484,0.840816,0.829132,0.812606
2039,0.962537,0.90501,0.895618,0.840602,0.82738,0.811896
2040,0.961087,0.903074,0.892965,0.840445,0.825965,0.81138
2041,0.959669,0.901288,0.890509,0.840328,0.824821,0.811004
2042,0.958285,0.89964,0.888237,0.840243,0.823896,0.81073
2043,0.956933,0.89812,0.886134,0.840179,0.823149,0.810531
2044,0.955613,0.896717,0.884187,0.840132,0.822545,0.810387
2045,0.954323,0.895423,0.882385,0.840098,0.822057,0.810281
2046,0.953062,0.894229,0.880718,0.840072,0.821662,0.810205
2047,0.951832,0.893128,0.879175,0.840053,0.821344,0.810149
2048,0.950629,0.892112,0.877747,0.840039,0.821086,0.810108
2049,0.949455,0.891174,0.876425,0.840029,0.820878,0.810079
2050,0.948307,0.890309,0.875201,0.840021,0.820709,0.810057
2051,0.947187,0.889511,0.874069,0.840016,0.820573,0.810042
2052,0.946092,0.888775,0.873021,0.840012,0.820463,0.81003
2053,0.945023,0.888096,0.872051,0.840009,0.820374,0.810022
2054,0.943979,0.887469,0.871154,0.840006,0.820303,0.810016
2055,0.942959,0.886891,0.870323,0.840005,0.820245,0.810012
2056,0.941962,0.886358,0.869554,0.840003,0.820198,0.810009
2057,0.940989,0.885865,0.868842,0.840003,0.82016,0.810006
2058,0.940038,0.885411,0.868184,0.840002,0.820129,0.810005
2059,0.939109,0.884993,0.867574,0.840001,0.820104,0.810003
2060,0.938202,0.884606,0.86701,0.840001,0.820084,0.810002
