Time,Technology Maturity Insulation[Label F],Technology Maturity Insulation[Label E],Technology Maturity Insulation[Label D],Technology Maturity Insulation[Label C],Technology Maturity Insulation[Label B],Technology Maturity Insulation[Label A]
2020,0.5,0.4,0.3,0.2,0.1,0.05
2021,0.511599,0.433212,0.323904,0.267846,0.123049,0.0678876
2022,0.522928,0.469181,0.349712,0.358707,0.151411,0.0921745
2023,0.533995,0.508075,0.377577,0.480392,0.18631,0.12515
2024,0.544805,0.546153,0.407662,0.615059,0.229253,0.169923
2025,0.555364,0.581284,0.440144,0.71573,0.282094,0.230713
2026,0.565678,0.613695,0.475214,0.790073,0.347114,0.313251
2027,0.575753,0.643597,0.512858,0.844974,0.427121,0.425317
2028,0.585595,0.671185,0.549143,0.885517,0.524932,0.569433
2029,0.595208,0.696637,0.582725,0.915457,0.616046,0.686715
2030,0.604598,0.720119,0.613806,0.937567,0.689685,0.77205
2031,0.61377,0.741783,0.642572,0.953894,0.749201,0.834141
2032,0.622729,0.761771,0.669195,0.965952,0.797302,0.879319
2033,0.631481,0.780211,0.693836,0.974856,0.836178,0.912191
2034,0.64003,0.797224,0.71664,0.981432,0.867597,0.936109
2035,0.64838,0.81292,0.737747,0.986288,0.892991,0.953512
2036,0.656536,0.827401,0.757281,0.989874,0.913514,0.966175
2037,0.664504,0.840761,0.77536,0.992522,0.930102,0.975389
2038,0.672286,0.853087,0.792092,0.994478,0.943507,0.982092
2039,0.679888,0.864459,0.807578,0.995922,0.954342,0.98697
2040,0.687314,0.874951,0.821911,0.996988,0.963099,0.990519
2041,0.694567,0.88463,0.835176,0.997776,0.970176,0.993102
2042,0.701653,0.893561,0.847453,0.998358,0.975896,0.994981
2043,0.708573,0.9018,0.858816,0.998787,0.980519,0.996348
2044,0.715334,0.909401,0.869332,0.999104,0.984255,0.997343
2045,0.721937,0.916414,0.879065,0.999339,0.987275,0.998067
2046,0.728387,0.922884,0.888073,0.999512,0.989716,0.998593
2047,0.734688,0.928853,0.89641,0.999639,0.991688,0.998976
2048,0.740842,0.93436,0.904126,0.999734,0.993282,0.999255
2049,0.746854,0.939441,0.911267,0.999803,0.994571,0.999458
2050,0.752726,0.944129,0.917876,0.999855,0.995612,0.999606
2051,0.758463,0.948454,0.923993,0.999893,0.996454,0.999713
2052,0.764065,0.952444,0.929655,0.999921,0.997134,0.999791
2053,0.769538,0.956125,0.934894,0.999941,0.997683,0.999848
2054,0.774885,0.959521,0.939744,0.999957,0.998128,0.999889
2055,0.780107,0.962654,0.944232,0.999968,0.998487,0.99992
2056,0.785207,0.965545,0.948386,0.999976,0.998777,0.999941
2057,0.79019,0.968212,0.952231,0.999983,0.999012,0.999957
2058,0.795057,0.970673,0.955789,0.999987,0.999201,0.999969
2059,0.799811,0.972943,0.959082,0.999991,0.999354,0.999977
2060,0.804455,0.975037,0.96213,0.999993,0.999478,0.999984
