Time,System cost reduction[Natural Gas],System cost reduction[Green Gas],System cost reduction[LT Heating Grid],System cost reduction[MT Heating Grid],System cost reduction[HT Heating Grid],System cost reduction[Air Heat Pump],System cost reduction[Ground Heat Pump],System cost reduction[Hybrid Heat Pump]
2020,1,1,1,1,1,1,1,1
2021,1,0.983525,0.997166,0.997201,1,0.999915,0.999889,0.999925
2022,1,0.963925,0.993847,0.993925,1,0.99975,0.999677,0.999782
2023,1,0.940582,0.990186,0.990392,1,0.999458,0.999307,0.999531
2024,1,0.912808,0.98625,0.986708,1,0.99899,0.998723,0.999131
2025,1,0.87982,0.982065,0.982937,1,0.998296,0.997877,0.998549
2026,1,0.846453,0.977717,0.979176,1,0.997323,0.996726,0.997748
2027,1,0.818867,0.973393,0.975474,1,0.996017,0.995236,0.996699
2028,1,0.796047,0.96913,0.971843,1,0.994321,0.993382,0.995376
2029,1,0.777155,0.964931,0.968281,1,0.99218,0.991156,0.993762
2030,1,0.761505,0.960792,0.964782,1,0.989535,0.988554,0.991845
2031,1,0.748585,0.956715,0.961349,1,0.986128,0.985431,0.989494
2032,1,0.737974,0.9527,0.957981,1,0.981589,0.981582,0.986533
2033,1,0.729248,0.948741,0.954672,1,0.975844,0.976997,0.982949
2034,1,0.722026,0.944844,0.951429,1,0.969245,0.971795,0.978838
2035,1,0.71599,0.941008,0.948249,1,0.962062,0.96617,0.974344
2036,1,0.710914,0.937207,0.945108,1,0.954465,0.960275,0.969571
2037,1,0.706639,0.933424,0.94199,1,0.946514,0.954178,0.96456
2038,1,0.703039,0.929655,0.938887,1,0.938219,0.947903,0.959316
2039,1,0.699995,0.925893,0.935796,1,0.929723,0.941551,0.953916
2040,1,0.697404,0.92214,0.93272,1,0.921185,0.935227,0.948451
2041,1,0.695192,0.918404,0.929665,1,0.912698,0.929002,0.942976
2042,1,0.693298,0.914675,0.926623,1,0.90433,0.922933,0.937537
2043,1,0.691666,0.910963,0.923604,1,0.89617,0.917088,0.932194
2044,1,0.690253,0.907285,0.920628,1,0.888307,0.911518,0.927001
2045,1,0.689022,0.903654,0.917707,1,0.880797,0.906253,0.921994
2046,1,0.687946,0.900095,0.914865,1,0.873664,0.901292,0.917185
2047,1,0.687003,0.896621,0.912114,1,0.866916,0.896627,0.91258
2048,1,0.68617,0.893228,0.909447,1,0.860573,0.892266,0.908196
2049,1,0.68543,0.889911,0.90686,1,0.854656,0.888217,0.904051
2050,1,0.684771,0.88668,0.904359,1,0.849156,0.884473,0.900148
2051,1,0.684186,0.883532,0.901943,1,0.844051,0.881014,0.896475
2052,1,0.683667,0.880468,0.89961,1,0.839312,0.877819,0.893021
2053,1,0.683208,0.877483,0.897356,1,0.834915,0.874869,0.889772
2054,1,0.682802,0.874572,0.895175,1,0.830835,0.872145,0.886717
2055,1,0.68244,0.871734,0.893066,1,0.827049,0.86963,0.883843
2056,1,0.682119,0.868972,0.89103,1,0.823536,0.867307,0.88114
2057,1,0.681836,0.866277,0.889059,1,0.820277,0.865161,0.878597
2058,1,0.681585,0.863645,0.887151,1,0.817254,0.863179,0.876206
2059,1,0.681361,0.861084,0.885309,1,0.814455,0.86135,0.873959
2060,1,0.681163,0.858592,0.883532,1,0.811865,0.859666,0.871852
